Source	Target
CLARK, SARAH	JONES, LORRAINE LORR
CLARK, SARAH	JONES, NELL
CLARK, SARAH	ROM, SPACEKNIGHT
CLARK, SARAH	JONES, DANIEL DANNY
CLARK, SARAH	CLARK, JOHN
CLARK, SARAH	HYBRID/JAMES JIMMY M
HYBRID/JAMES JIMMY M	KILLBURN, MACK
HYBRID/JAMES JIMMY M	STARSHINE II/BRANDY
HYBRID/JAMES JIMMY M	JONES, TAMMY ANNE
HYBRID/JAMES JIMMY M	JACKSON, STEVE
HYBRID/JAMES JIMMY M	JONES, LORRAINE LORR
HYBRID/JAMES JIMMY M	JONES, NELL
HYBRID/JAMES JIMMY M	JONES, DANIEL DANNY
HYBRID/JAMES JIMMY M	CLARK, JOHN
CLARK, JOHN	TORPEDO III/BROCK JO
CLARK, JOHN	KILLBURN, MACK
CLARK, JOHN	STARSHINE II/BRANDY
CLARK, JOHN	JONES, TAMMY ANNE
CLARK, JOHN	JACKSON, STEVE
CLARK, JOHN	JONES, LORRAINE LORR
CLARK, JOHN	JONES, NELL
CLARK, JOHN	ROM, SPACEKNIGHT
CLARK, JOHN	JONES, DANIEL DANNY
JONES, DANIEL DANNY	TORPEDO III/BROCK JO
JONES, DANIEL DANNY	KILLBURN, MACK
JONES, DANIEL DANNY	STARSHINE II/BRANDY
JONES, DANIEL DANNY	JONES, TAMMY ANNE
JONES, DANIEL DANNY	JACKSON, STEVE
JONES, DANIEL DANNY	JONES, LORRAINE LORR
JONES, DANIEL DANNY	JONES, NELL
JONES, DANIEL DANNY	ROM, SPACEKNIGHT
ROM, SPACEKNIGHT	KILLBURN, MACK
ROM, SPACEKNIGHT	JONES, TAMMY ANNE
ROM, SPACEKNIGHT	JONES, LORRAINE LORR
ROM, SPACEKNIGHT	JONES, NELL
JONES, NELL	TORPEDO III/BROCK JO
JONES, NELL	KILLBURN, MACK
JONES, NELL	STARSHINE II/BRANDY
JONES, NELL	JONES, TAMMY ANNE
JONES, NELL	JACKSON, STEVE
JONES, NELL	JONES, LORRAINE LORR
JONES, LORRAINE LORR	TORPEDO III/BROCK JO
JONES, LORRAINE LORR	KILLBURN, MACK
JONES, LORRAINE LORR	STARSHINE II/BRANDY
JONES, LORRAINE LORR	JONES, TAMMY ANNE
JONES, LORRAINE LORR	JACKSON, STEVE
JACKSON, STEVE	TORPEDO III/BROCK JO
JACKSON, STEVE	KILLBURN, MACK
JACKSON, STEVE	JONES, TAMMY ANNE
JONES, TAMMY ANNE	TORPEDO III/BROCK JO
JONES, TAMMY ANNE	KILLBURN, MACK
JONES, TAMMY ANNE	STARSHINE II/BRANDY
STARSHINE II/BRANDY	TORPEDO III/BROCK JO
STARSHINE II/BRANDY	KILLBURN, MACK
KILLBURN, MACK	TORPEDO III/BROCK JO
JONES, LORRAINE LORR	ROGUE /
JONES, LORRAINE LORR	DESTINY II/IRENE ADL
JONES, LORRAINE LORR	MYSTIQUE/RAVEN DARKH
MYSTIQUE/RAVEN DARKH	KILLBURN, MACK
MYSTIQUE/RAVEN DARKH	JONES, TAMMY ANNE
MYSTIQUE/RAVEN DARKH	JACKSON, STEVE
MYSTIQUE/RAVEN DARKH	STARSHINE II/BRANDY
MYSTIQUE/RAVEN DARKH	JONES, DANIEL DANNY
DESTINY II/IRENE ADL	KILLBURN, MACK
DESTINY II/IRENE ADL	JONES, TAMMY ANNE
DESTINY II/IRENE ADL	JACKSON, STEVE
DESTINY II/IRENE ADL	STARSHINE II/BRANDY
DESTINY II/IRENE ADL	JONES, DANIEL DANNY
ROGUE /	KILLBURN, MACK
ROGUE /	JONES, TAMMY ANNE
ROGUE /	JACKSON, STEVE
ROGUE /	STARSHINE II/BRANDY
ROGUE /	JONES, DANIEL DANNY
ROM, SPACEKNIGHT	SUB-MARINER/NAMOR MA
ROM, SPACEKNIGHT	VASHTI
VASHTI	SUB-MARINER/NAMOR MA
VASHTI	SEAWEED MAN
SUB-MARINER/NAMOR MA	SEAWEED MAN
ROM, SPACEKNIGHT	SEAWEED MAN
VASHTI	STARSHINE II/BRANDY
SUB-MARINER/NAMOR MA	STARSHINE II/BRANDY
NOVA/RICHARD RIDER	FIRESTAR/ANGELICA JO
NOVA/RICHARD RIDER	THUNDERBALL/DR. ELIO
NOVA/RICHARD RIDER	NAMORITA/NITA PRENTI
NOVA/RICHARD RIDER	SPEEDBALL/ROBBIE BAL
NOVA/RICHARD RIDER	HULK/DR. ROBERT BRUC
NOVA/RICHARD RIDER	NIGHT THRASHER/DUANE
NOVA/RICHARD RIDER	SPIDER-MAN/PETER PARKER
SPIDER-MAN/PETER PARKER	FIRESTAR/ANGELICA JO
SPIDER-MAN/PETER PARKER	THUNDERBALL/DR. ELIO
SPIDER-MAN/PETER PARKER	NAMORITA/NITA PRENTI
SPIDER-MAN/PETER PARKER	SPEEDBALL/ROBBIE BAL
SPIDER-MAN/PETER PARKER	HULK/DR. ROBERT BRUC
SPIDER-MAN/PETER PARKER	NIGHT THRASHER/DUANE
NIGHT THRASHER/DUANE	FIRESTAR/ANGELICA JO
NIGHT THRASHER/DUANE	THUNDERBALL/DR. ELIO
NIGHT THRASHER/DUANE	NAMORITA/NITA PRENTI
NIGHT THRASHER/DUANE	SPEEDBALL/ROBBIE BAL
NIGHT THRASHER/DUANE	HULK/DR. ROBERT BRUC
HULK/DR. ROBERT BRUC	FIRESTAR/ANGELICA JO
HULK/DR. ROBERT BRUC	THUNDERBALL/DR. ELIO
HULK/DR. ROBERT BRUC	NAMORITA/NITA PRENTI
HULK/DR. ROBERT BRUC	SPEEDBALL/ROBBIE BAL
SPEEDBALL/ROBBIE BAL	FIRESTAR/ANGELICA JO
SPEEDBALL/ROBBIE BAL	THUNDERBALL/DR. ELIO
SPEEDBALL/ROBBIE BAL	NAMORITA/NITA PRENTI
NAMORITA/NITA PRENTI	FIRESTAR/ANGELICA JO
NAMORITA/NITA PRENTI	THUNDERBALL/DR. ELIO
THUNDERBALL/DR. ELIO	FIRESTAR/ANGELICA JO
JUSTICE II/VANCE AST	SPEEDBALL/ROBBIE BAL
JUSTICE II/VANCE AST	NAMORITA/NITA PRENTI
JUSTICE II/VANCE AST	HULK/DR. ROBERT BRUC
JUSTICE II/VANCE AST	NIGHT THRASHER/DUANE
JUSTICE II/VANCE AST	NOVA/RICHARD RIDER
JUSTICE II/VANCE AST	FIRESTAR/ANGELICA JO
TIGRA/GREER NELSON	WASP/JANET VAN DYNE
TIGRA/GREER NELSON	GALACTUS/GALAN
TIGRA/GREER NELSON	MOCKINGBIRD/DR. BARB
TIGRA/GREER NELSON	SILVER SURFER/NORRIN
TIGRA/GREER NELSON	HAWK
TIGRA/GREER NELSON	LORD CHAOS
TIGRA/GREER NELSON	SCARLET WITCH/WANDA
TIGRA/GREER NELSON	IRON MAN/TONY STARK
TIGRA/GREER NELSON	QUICKSILVER/PIETRO M
QUICKSILVER/PIETRO M	WASP/JANET VAN DYNE
QUICKSILVER/PIETRO M	GALACTUS/GALAN
QUICKSILVER/PIETRO M	MOCKINGBIRD/DR. BARB
QUICKSILVER/PIETRO M	SILVER SURFER/NORRIN
QUICKSILVER/PIETRO M	HAWK
QUICKSILVER/PIETRO M	LORD CHAOS
QUICKSILVER/PIETRO M	SCARLET WITCH/WANDA
QUICKSILVER/PIETRO M	IRON MAN/TONY STARK
IRON MAN/TONY STARK	WASP/JANET VAN DYNE
IRON MAN/TONY STARK	GALACTUS/GALAN
IRON MAN/TONY STARK	MOCKINGBIRD/DR. BARB
IRON MAN/TONY STARK	SILVER SURFER/NORRIN
IRON MAN/TONY STARK	HAWK
IRON MAN/TONY STARK	LORD CHAOS
IRON MAN/TONY STARK	SCARLET WITCH/WANDA
SCARLET WITCH/WANDA	WASP/JANET VAN DYNE
SCARLET WITCH/WANDA	GALACTUS/GALAN
SCARLET WITCH/WANDA	MOCKINGBIRD/DR. BARB
SCARLET WITCH/WANDA	SILVER SURFER/NORRIN
SCARLET WITCH/WANDA	HAWK
SCARLET WITCH/WANDA	LORD CHAOS
LORD CHAOS	WASP/JANET VAN DYNE
LORD CHAOS	GALACTUS/GALAN
LORD CHAOS	MOCKINGBIRD/DR. BARB
LORD CHAOS	SILVER SURFER/NORRIN
LORD CHAOS	HAWK
HAWK	WASP/JANET VAN DYNE
HAWK	GALACTUS/GALAN
HAWK	MOCKINGBIRD/DR. BARB
HAWK	SILVER SURFER/NORRIN
SILVER SURFER/NORRIN	WASP/JANET VAN DYNE
SILVER SURFER/NORRIN	GALACTUS/GALAN
SILVER SURFER/NORRIN	MOCKINGBIRD/DR. BARB
MOCKINGBIRD/DR. BARB	WASP/JANET VAN DYNE
MOCKINGBIRD/DR. BARB	GALACTUS/GALAN
GALACTUS/GALAN	WASP/JANET VAN DYNE
UATU	CAPTAIN AMERICA
UATU	THUNDERSTRIKE/ERIC K
UATU	NOVA/RICHARD RIDER
UATU	GALACTUS/GALAN
UATU	WONDER MAN/SIMON WIL
UATU	DEATHLOK III/MICHAEL
UATU	OBLIVION
UATU	WOLVERINE/LOGAN
UATU	SHE-HULK/JENNIFER WA
UATU	SILVER SURFER/NORRIN
UATU	VISION
UATU	PSYLOCKE/ELISABETH B
UATU	MARVEL GIRL/JEAN GRE
UATU	STORM/ORORO MUNROE S
UATU	ETERNITY/ADAM QADMON
UATU	KISMET/J'RIDIA STARD
UATU	NIGHT THRASHER/DUANE
UATU	IN-BETWEENER
UATU	MR. FANTASTIC/REED RICHARDS
UATU	ANGEL/WARREN KENNETH
UATU	DEATH
UATU	MASTER ORDER
UATU	IRON MAN/TONY STARK
UATU	BLACK PANTHER/T'CHAL
UATU	SCARLET WITCH/WANDA
UATU	JUBILEE/JUBILATION L
UATU	THING/BEN GRIMM
UATU	INVISIBLE WOMAN/SUE
UATU	LORD CHAOS
UATU	INFINITY II
UATU	PUNISHER II/FRANK CA
UATU	HULK/DR. ROBERT BRUC
UATU	ANDROMEDA/ANDROMEDA
UATU	BEAST/HENRY &HANK& P
UATU	GHOST RIDER III/DAN
UATU	CYCLOPS/SCOTT SUMMER
UATU	SPEEDBALL/ROBBIE BAL
SPEEDBALL/ROBBIE BAL	CAPTAIN AMERICA
SPEEDBALL/ROBBIE BAL	THUNDERSTRIKE/ERIC K
SPEEDBALL/ROBBIE BAL	GALACTUS/GALAN
SPEEDBALL/ROBBIE BAL	WONDER MAN/SIMON WIL
SPEEDBALL/ROBBIE BAL	DEATHLOK III/MICHAEL
SPEEDBALL/ROBBIE BAL	OBLIVION
SPEEDBALL/ROBBIE BAL	WOLVERINE/LOGAN
SPEEDBALL/ROBBIE BAL	SHE-HULK/JENNIFER WA
SPEEDBALL/ROBBIE BAL	SILVER SURFER/NORRIN
SPEEDBALL/ROBBIE BAL	VISION
SPEEDBALL/ROBBIE BAL	PSYLOCKE/ELISABETH B
SPEEDBALL/ROBBIE BAL	MARVEL GIRL/JEAN GRE
SPEEDBALL/ROBBIE BAL	STORM/ORORO MUNROE S
SPEEDBALL/ROBBIE BAL	ETERNITY/ADAM QADMON
SPEEDBALL/ROBBIE BAL	KISMET/J'RIDIA STARD
SPEEDBALL/ROBBIE BAL	IN-BETWEENER
SPEEDBALL/ROBBIE BAL	MR. FANTASTIC/REED RICHARDS
SPEEDBALL/ROBBIE BAL	ANGEL/WARREN KENNETH
SPEEDBALL/ROBBIE BAL	DEATH
SPEEDBALL/ROBBIE BAL	MASTER ORDER
SPEEDBALL/ROBBIE BAL	IRON MAN/TONY STARK
SPEEDBALL/ROBBIE BAL	BLACK PANTHER/T'CHAL
SPEEDBALL/ROBBIE BAL	SCARLET WITCH/WANDA
SPEEDBALL/ROBBIE BAL	JUBILEE/JUBILATION L
SPEEDBALL/ROBBIE BAL	THING/BEN GRIMM
SPEEDBALL/ROBBIE BAL	INVISIBLE WOMAN/SUE
SPEEDBALL/ROBBIE BAL	LORD CHAOS
SPEEDBALL/ROBBIE BAL	INFINITY II
SPEEDBALL/ROBBIE BAL	PUNISHER II/FRANK CA
SPEEDBALL/ROBBIE BAL	ANDROMEDA/ANDROMEDA
SPEEDBALL/ROBBIE BAL	BEAST/HENRY &HANK& P
SPEEDBALL/ROBBIE BAL	GHOST RIDER III/DAN
SPEEDBALL/ROBBIE BAL	CYCLOPS/SCOTT SUMMER
CYCLOPS/SCOTT SUMMER	CAPTAIN AMERICA
CYCLOPS/SCOTT SUMMER	THUNDERSTRIKE/ERIC K
CYCLOPS/SCOTT SUMMER	NOVA/RICHARD RIDER
CYCLOPS/SCOTT SUMMER	GALACTUS/GALAN
CYCLOPS/SCOTT SUMMER	WONDER MAN/SIMON WIL
CYCLOPS/SCOTT SUMMER	DEATHLOK III/MICHAEL
CYCLOPS/SCOTT SUMMER	OBLIVION
CYCLOPS/SCOTT SUMMER	WOLVERINE/LOGAN
CYCLOPS/SCOTT SUMMER	SHE-HULK/JENNIFER WA
CYCLOPS/SCOTT SUMMER	SILVER SURFER/NORRIN
CYCLOPS/SCOTT SUMMER	VISION
CYCLOPS/SCOTT SUMMER	PSYLOCKE/ELISABETH B
CYCLOPS/SCOTT SUMMER	MARVEL GIRL/JEAN GRE
CYCLOPS/SCOTT SUMMER	STORM/ORORO MUNROE S
CYCLOPS/SCOTT SUMMER	ETERNITY/ADAM QADMON
CYCLOPS/SCOTT SUMMER	KISMET/J'RIDIA STARD
CYCLOPS/SCOTT SUMMER	NIGHT THRASHER/DUANE
CYCLOPS/SCOTT SUMMER	IN-BETWEENER
CYCLOPS/SCOTT SUMMER	MR. FANTASTIC/REED RICHARDS
CYCLOPS/SCOTT SUMMER	ANGEL/WARREN KENNETH
CYCLOPS/SCOTT SUMMER	DEATH
CYCLOPS/SCOTT SUMMER	MASTER ORDER
CYCLOPS/SCOTT SUMMER	IRON MAN/TONY STARK
CYCLOPS/SCOTT SUMMER	BLACK PANTHER/T'CHAL
CYCLOPS/SCOTT SUMMER	SCARLET WITCH/WANDA
CYCLOPS/SCOTT SUMMER	JUBILEE/JUBILATION L
CYCLOPS/SCOTT SUMMER	THING/BEN GRIMM
CYCLOPS/SCOTT SUMMER	INVISIBLE WOMAN/SUE
CYCLOPS/SCOTT SUMMER	LORD CHAOS
CYCLOPS/SCOTT SUMMER	INFINITY II
CYCLOPS/SCOTT SUMMER	PUNISHER II/FRANK CA
CYCLOPS/SCOTT SUMMER	HULK/DR. ROBERT BRUC
CYCLOPS/SCOTT SUMMER	ANDROMEDA/ANDROMEDA
CYCLOPS/SCOTT SUMMER	BEAST/HENRY &HANK& P
CYCLOPS/SCOTT SUMMER	GHOST RIDER III/DAN
GHOST RIDER III/DAN	CAPTAIN AMERICA
GHOST RIDER III/DAN	THUNDERSTRIKE/ERIC K
GHOST RIDER III/DAN	NOVA/RICHARD RIDER
GHOST RIDER III/DAN	GALACTUS/GALAN
GHOST RIDER III/DAN	WONDER MAN/SIMON WIL
GHOST RIDER III/DAN	DEATHLOK III/MICHAEL
GHOST RIDER III/DAN	OBLIVION
GHOST RIDER III/DAN	WOLVERINE/LOGAN
GHOST RIDER III/DAN	SHE-HULK/JENNIFER WA
GHOST RIDER III/DAN	SILVER SURFER/NORRIN
GHOST RIDER III/DAN	VISION
GHOST RIDER III/DAN	PSYLOCKE/ELISABETH B
GHOST RIDER III/DAN	MARVEL GIRL/JEAN GRE
GHOST RIDER III/DAN	STORM/ORORO MUNROE S
GHOST RIDER III/DAN	ETERNITY/ADAM QADMON
GHOST RIDER III/DAN	KISMET/J'RIDIA STARD
GHOST RIDER III/DAN	NIGHT THRASHER/DUANE
GHOST RIDER III/DAN	IN-BETWEENER
GHOST RIDER III/DAN	MR. FANTASTIC/REED RICHARDS
GHOST RIDER III/DAN	ANGEL/WARREN KENNETH
GHOST RIDER III/DAN	DEATH
GHOST RIDER III/DAN	MASTER ORDER
GHOST RIDER III/DAN	IRON MAN/TONY STARK
GHOST RIDER III/DAN	BLACK PANTHER/T'CHAL
GHOST RIDER III/DAN	SCARLET WITCH/WANDA
GHOST RIDER III/DAN	JUBILEE/JUBILATION L
GHOST RIDER III/DAN	THING/BEN GRIMM
GHOST RIDER III/DAN	INVISIBLE WOMAN/SUE
GHOST RIDER III/DAN	LORD CHAOS
GHOST RIDER III/DAN	INFINITY II
GHOST RIDER III/DAN	PUNISHER II/FRANK CA
GHOST RIDER III/DAN	HULK/DR. ROBERT BRUC
GHOST RIDER III/DAN	ANDROMEDA/ANDROMEDA
GHOST RIDER III/DAN	BEAST/HENRY &HANK& P
BEAST/HENRY &HANK& P	CAPTAIN AMERICA
BEAST/HENRY &HANK& P	THUNDERSTRIKE/ERIC K
BEAST/HENRY &HANK& P	NOVA/RICHARD RIDER
BEAST/HENRY &HANK& P	GALACTUS/GALAN
BEAST/HENRY &HANK& P	WONDER MAN/SIMON WIL
BEAST/HENRY &HANK& P	DEATHLOK III/MICHAEL
BEAST/HENRY &HANK& P	OBLIVION
BEAST/HENRY &HANK& P	WOLVERINE/LOGAN
BEAST/HENRY &HANK& P	SHE-HULK/JENNIFER WA
BEAST/HENRY &HANK& P	SILVER SURFER/NORRIN
BEAST/HENRY &HANK& P	VISION
BEAST/HENRY &HANK& P	PSYLOCKE/ELISABETH B
BEAST/HENRY &HANK& P	MARVEL GIRL/JEAN GRE
BEAST/HENRY &HANK& P	STORM/ORORO MUNROE S
BEAST/HENRY &HANK& P	ETERNITY/ADAM QADMON
BEAST/HENRY &HANK& P	KISMET/J'RIDIA STARD
BEAST/HENRY &HANK& P	NIGHT THRASHER/DUANE
BEAST/HENRY &HANK& P	IN-BETWEENER
BEAST/HENRY &HANK& P	MR. FANTASTIC/REED RICHARDS
BEAST/HENRY &HANK& P	ANGEL/WARREN KENNETH
BEAST/HENRY &HANK& P	DEATH
BEAST/HENRY &HANK& P	MASTER ORDER
BEAST/HENRY &HANK& P	IRON MAN/TONY STARK
BEAST/HENRY &HANK& P	BLACK PANTHER/T'CHAL
BEAST/HENRY &HANK& P	SCARLET WITCH/WANDA
BEAST/HENRY &HANK& P	JUBILEE/JUBILATION L
BEAST/HENRY &HANK& P	THING/BEN GRIMM
BEAST/HENRY &HANK& P	INVISIBLE WOMAN/SUE
BEAST/HENRY &HANK& P	LORD CHAOS
BEAST/HENRY &HANK& P	INFINITY II
BEAST/HENRY &HANK& P	PUNISHER II/FRANK CA
BEAST/HENRY &HANK& P	HULK/DR. ROBERT BRUC
BEAST/HENRY &HANK& P	ANDROMEDA/ANDROMEDA
ANDROMEDA/ANDROMEDA	CAPTAIN AMERICA
ANDROMEDA/ANDROMEDA	THUNDERSTRIKE/ERIC K
ANDROMEDA/ANDROMEDA	NOVA/RICHARD RIDER
ANDROMEDA/ANDROMEDA	GALACTUS/GALAN
ANDROMEDA/ANDROMEDA	WONDER MAN/SIMON WIL
ANDROMEDA/ANDROMEDA	DEATHLOK III/MICHAEL
ANDROMEDA/ANDROMEDA	OBLIVION
ANDROMEDA/ANDROMEDA	WOLVERINE/LOGAN
ANDROMEDA/ANDROMEDA	SHE-HULK/JENNIFER WA
ANDROMEDA/ANDROMEDA	SILVER SURFER/NORRIN
ANDROMEDA/ANDROMEDA	VISION
ANDROMEDA/ANDROMEDA	PSYLOCKE/ELISABETH B
ANDROMEDA/ANDROMEDA	MARVEL GIRL/JEAN GRE
ANDROMEDA/ANDROMEDA	STORM/ORORO MUNROE S
ANDROMEDA/ANDROMEDA	ETERNITY/ADAM QADMON
ANDROMEDA/ANDROMEDA	KISMET/J'RIDIA STARD
ANDROMEDA/ANDROMEDA	NIGHT THRASHER/DUANE
ANDROMEDA/ANDROMEDA	IN-BETWEENER
ANDROMEDA/ANDROMEDA	MR. FANTASTIC/REED RICHARDS
ANDROMEDA/ANDROMEDA	ANGEL/WARREN KENNETH
ANDROMEDA/ANDROMEDA	DEATH
ANDROMEDA/ANDROMEDA	MASTER ORDER
ANDROMEDA/ANDROMEDA	IRON MAN/TONY STARK
ANDROMEDA/ANDROMEDA	BLACK PANTHER/T'CHAL
ANDROMEDA/ANDROMEDA	SCARLET WITCH/WANDA
ANDROMEDA/ANDROMEDA	JUBILEE/JUBILATION L
ANDROMEDA/ANDROMEDA	THING/BEN GRIMM
ANDROMEDA/ANDROMEDA	INVISIBLE WOMAN/SUE
ANDROMEDA/ANDROMEDA	LORD CHAOS
ANDROMEDA/ANDROMEDA	INFINITY II
ANDROMEDA/ANDROMEDA	PUNISHER II/FRANK CA
ANDROMEDA/ANDROMEDA	HULK/DR. ROBERT BRUC
HULK/DR. ROBERT BRUC	CAPTAIN AMERICA
HULK/DR. ROBERT BRUC	THUNDERSTRIKE/ERIC K
HULK/DR. ROBERT BRUC	GALACTUS/GALAN
HULK/DR. ROBERT BRUC	WONDER MAN/SIMON WIL
HULK/DR. ROBERT BRUC	DEATHLOK III/MICHAEL
HULK/DR. ROBERT BRUC	OBLIVION
HULK/DR. ROBERT BRUC	WOLVERINE/LOGAN
HULK/DR. ROBERT BRUC	SHE-HULK/JENNIFER WA
HULK/DR. ROBERT BRUC	SILVER SURFER/NORRIN
HULK/DR. ROBERT BRUC	VISION
HULK/DR. ROBERT BRUC	PSYLOCKE/ELISABETH B
HULK/DR. ROBERT BRUC	MARVEL GIRL/JEAN GRE
HULK/DR. ROBERT BRUC	STORM/ORORO MUNROE S
HULK/DR. ROBERT BRUC	ETERNITY/ADAM QADMON
HULK/DR. ROBERT BRUC	KISMET/J'RIDIA STARD
HULK/DR. ROBERT BRUC	IN-BETWEENER
HULK/DR. ROBERT BRUC	MR. FANTASTIC/REED RICHARDS
HULK/DR. ROBERT BRUC	ANGEL/WARREN KENNETH
HULK/DR. ROBERT BRUC	DEATH
HULK/DR. ROBERT BRUC	MASTER ORDER
HULK/DR. ROBERT BRUC	IRON MAN/TONY STARK
HULK/DR. ROBERT BRUC	BLACK PANTHER/T'CHAL
